Bus,busdistances
sourcebus,0.0
b2518,0.0001
b468,0.000344629175463
b2284,0.0011
b1328,0.001355748683551
b1705,0.001562050598787
b3307,0.001676618917829
b1223,0.001709541097802
b1785,0.00189788296107
b3264,0.0025620505987869998
b626,0.0026289706652771
b2785,0.002676618917829
b2904,0.002709541097802
b1671,0.0027435389843191
b818,0.00289788296107
b3107,0.0029648030275601003
b25,0.0036289706652771
b990,0.0039648030275601
b567,0.005931394943231
b2317,0.0079161680758771
b2756,0.013511914072327099
b1895,0.0399508713833771
b830,0.045026565742502
b1487,0.046400154229960106
b2849,0.0466039411656771
b2682,0.0483881664445271
b1032,0.050558640786977097
b2892,0.05199849557046011
b2433,0.05268516809764011
b1583,0.054322229176882
b2893,0.055153945395302
b1694,0.057302014271202004
b2254,0.0580931990028771
b1227,0.0583076849944601
b3036,0.0593011750356771
b1129,0.0614315293274771
b1022,0.062892341761482
b2571,0.06487982876336709
b1922,0.0667118829473771
b2890,0.06706550568186011
b1401,0.067249699439222
b1813,0.0701652625404771
b29,0.0709312243045771
b1355,0.073290924748502
b903,0.07549056798761011
b1769,0.0820499627974771
b1950,0.08440078831610201
b2358,0.0855270578698601
b1432,0.08830869686841011
b2099,0.08946197755387711
b44,0.08967398404931201
b2657,0.08990314708576201
b1070,0.09203129110977709
b3006,0.0928790460908771
b1773,0.0948386801093771
b1753,0.0967505203715771
b703,0.0976297766317171
b835,0.09767651352854712
b1132,0.09928217520796011
b812,0.0998897586016771
b2401,0.1037972249733771
b2861,0.1069799734056771
b3296,0.10853467445836011
b461,0.108977094917602
b11,0.1090091417459901
b2038,0.11072393893696011
b1839,0.11170125947876709
b1614,0.1122438258374601
b1558,0.1123490470994071
b1181,0.11363817412467711
b2780,0.114841505345202
b613,0.11783014540660011
b3287,0.1192425590022771
b696,0.1204959293277771
b1736,0.1207422954111601
b3186,0.12122522057066011
b2701,0.12158430010226011
b2805,0.121735621881102
b2884,0.12278781242690201
b2143,0.1236218957007471
b2728,0.1239239470118601
b1884,0.12442291427126012
b137,0.1250704379228071
b147,0.125348128810002
b1360,0.1260803079948971
b206,0.1268528974392771
b187,0.1274876124735601
b2451,0.1303076692373471
b2826,0.1303434243598971
b2291,0.1306264469803601
b2718,0.1311580956954601
b3123,0.1321735837882601
b1573,0.13238836082226202
b2065,0.132435256605782
b52,0.1330086738008601
b264,0.13599430098520202
b944,0.1361950324236571
b2675,0.13631784711339712
b2361,0.1385964967417701
b1788,0.1395409990744601
b1230,0.14159739870283203
b1741,0.1435349964268601
b70,0.1437447730544601
b316,0.144256281322463
b846,0.1450140049489901
b1157,0.1452804044485771
b1994,0.145965747892872
b2544,0.147027261066002
b3306,0.14702972198076011
b3114,0.152385526454302
b2820,0.1554775439118601
b2880,0.1574200508007771
b2552,0.15762248357826011
b1601,0.1580504025121601
b360,0.15871953416116008
b1545,0.16245518057660202
b3284,0.1645532366278771
b1543,0.164648817459002
b3169,0.16471553906810202
b1902,0.16488193950929012
b159,0.165759354123102
b1652,0.1666580357285601
b3159,0.16724629091803708
b4,0.16727133419452708
b2632,0.16732001430251012
b2362,0.1676866737967601
b3260,0.167896533928002
b1534,0.16931960876806013
b2149,0.1698796192594601
b2309,0.17254454522620202
b2111,0.1750594521788601
b303,0.17510701495050202
b785,0.17595691254560203
b1817,0.17670015992387708
b1510,0.1771682414667601
b3210,0.1773283084638771
b2514,0.17750874436464012
b2012,0.179070302782702
b1094,0.1800011345027601
b1605,0.1804559266451601
b143,0.184504181642192
b1476,0.18734809936636013
b1859,0.188973479479882
b811,0.189120172765402
b1530,0.19127816263486014
b1182,0.19320887283706012
b1188,0.1943441749935771
b1431,0.19454660721096012
b2117,0.196939481823002
b117,0.19879325237235013
b495,0.1999837791440771
b1395,0.2008424627811601
b1496,0.2032053941050601
b161,0.20358006663516012
b1682,0.20381677770756013
b2053,0.20411379228307708
b2910,0.20421521837389708
b3079,0.204243660229872
b82,0.20477577952176013
b1031,0.2068678594839601
b46,0.206977943093902
b1274,0.207523594292202
b2269,0.20958953087414012
b3173,0.21113925238965198
b1108,0.21135927995535012
b749,0.2120092549802771
b183,0.2130700300757401
b2840,0.21451342834329198
b506,0.2164787226210771
b522,0.2167616157476801
b731,0.2169542355640601
b1829,0.217340528120402
b245,0.21760669660574708
b795,0.21816361450400198
b2806,0.2191158946472771
b1850,0.2216006169362571
b1523,0.22163224328378708
b640,0.222966026487752
b1310,0.226728305118172
b3233,0.227786869181502
b521,0.228705312993802
b1414,0.22982033268910199
b2860,0.23038221467576012
b1196,0.23199435586946013
b1300,0.235424506276002
b3393,0.236093808257322
b1528,0.23697891600246013
b3076,0.23989191732697013
b3234,0.240384029285102
b2176,0.24050001337720198
b1594,0.2406198811126771
b1791,0.24207215535236012
b2709,0.24216658340376013
b411,0.242184029440702
b3354,0.2428764937355601
b3161,0.243455423177702
b1144,0.24503157916840201
b2470,0.245872749455002
b3274,0.24683519939635012
b2706,0.24705246762096011
b2877,0.2479481703248771
b771,0.248372724851902
